id,category_label,Multi_model_info,DBMS,DBMS_insitelink,has_open_source_github_repo,has_company,github_repo_link,Score_Nov-2022,Rank_Nov-2022,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial DBMS,Time Series,Wide column
0 ,Relational,"Relational DBMS,Document store,Graph DBMS,RDF  store,Spatial DBMS",Oracle,https://db-engines.com/en/system/Oracle,N,Y,-,1245.17 ,1 ,-,-,Oracle,1980 ,2021 ,N,restricted free version is available,N,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,1 ,0 ,0 
1 ,Relational,"Relational DBMS,Document store,Spatial DBMS",MySQL,https://db-engines.com/en/system/MySQL,Y,Y,mysql/mysql-server,1211.96 ,2 ,mysql,mysql-server,Oracle,1995 ,2022 ,Y,GPL version 2. Commercial licenses with extended  functionallity are available,N,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 
2 ,Relational,"Relational  DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft SQL  Server,https://db-engines.com/en/system/Microsoft+SQL+Server,N,Y,-,919.39 ,3 ,-,-,Microsoft,1989 ,2022 ,N,restricted free  version is available,N,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 
3 ,Relational,"Relational DBMS,Document store,Spatial DBMS",PostgreSQL,https://db-engines.com/en/system/PostgreSQL,Y,N,postgres/postgres,614.85 ,4 ,postgres,postgres,PostgreSQL Global Development Group,1989 ,2022 ,Y,BSD,N,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 
4 ,Document,"Document  store,Spatial DBMS,Search engine,Time Series DBMS",MongoDB,https://db-engines.com/en/system/MongoDB,Y,Y,mongodb/mongo,455.18 ,5 ,mongodb,mongo,"MongoDB, Inc",2009 ,2022 ,Y,MongoDB Inc.'s  Server Side Public License v1. Prior versions were published under GNU AGPL  v3.0. Commercial licenses are also available.,N,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,0 
5 ,Key-value,"Key-value store,Document store,Graph DBMS,Spatial  DBMS,Search engine,Time Series DBMS",Redis,https://db-engines.com/en/system/Redis,Y,Y,redis/redis,177.56 ,6 ,redis,redis,"Redis project core team, inspired by Salvatore Sanfilippo",2009 ,2022 ,Y,"source-available extensions (modules), commercial licenses  for Redis Enterprise",N,0 ,1 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,0 
6 ,Relational,"Relational  DBMS,Document store,RDF store,Spatial DBMS",IBM Db2,https://db-engines.com/en/system/IBM+Db2,N,Y,-,143.57 ,7 ,-,-,IBM,1983 ,2016 ,N,free version is  available,N,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,1 ,0 ,0 
7 ,Search engine,"Search engine,Document store,Spatial DBMS",Elasticsearch,https://db-engines.com/en/system/Elasticsearch,Y,Y,elastic/elasticsearch,141.16 ,8 ,elastic,elasticsearch,Elastic,2010 ,2020 ,Y,Elastic License,N,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 
8 ,Relational,Relational DBMS,Microsoft  Access,https://db-engines.com/en/system/Microsoft+Access,N,Y,-,133.36 ,9 ,-,-,Microsoft,1992 ,2019 ,N,Bundled with  Microsoft Office,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
9 ,Relational,Relational DBMS,SQLite,https://db-engines.com/en/system/SQLite,Y,N,sqlite/sqlite,131.49 ,10 ,sqlite,sqlite,Dwayne Richard Hipp,2000 ,2022 ,Y,Public Domain,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
10 ,Relational,Relational DBMS,Snowflake,https://db-engines.com/en/system/Snowflake,Y_archivedas_twitter-archive/snowflake,Y,twitter-archive/snowflake,117.26 ,11 ,twitter-archive,snowflake,Snowflake  Computing Inc.,2014 ,,N,,Y,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
11 ,Wide column,Wide column store,Cassandra,https://db-engines.com/en/system/Cassandra,Y,N,apache/cassandra,116.31 ,12 ,apache,cassandra,Apache Software Foundation,2008 ,2022 ,Y,Apache version 2,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
12 ,Relational,"Relational  DBMS,Document store,Graph DBMS,Spatial DBMS",MariaDB,https://db-engines.com/en/system/MariaDB,Y,Y_借壳上市,MariaDB/server,99.35 ,13 ,MariaDB,server,"MariaDB  Corporation Ab (MariaDB Enterprise),,MariaDB Foundation (community MariaDB  Server)",2009 ,2022 ,Y,"GPL version 2,  commercial enterprise subscription available",N,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 
13 ,Search engine,Search engine,Splunk,https://db-engines.com/en/system/Splunk,N,,-,88.41 ,14 ,-,-,Splunk Inc.,2003 ,,N,Limited free edition and free developer edition available,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
14 ,Document,"Document  store,Key-value store",Amazon DynamoDB,https://db-engines.com/en/system/Amazon+DynamoDB,N,,-,81.55 ,15 ,-,-,Amazon,2012 ,,N,free tier for a  limited amount of database operations,Y,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
15 ,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft Azure SQL Database,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,N,,-,80.37 ,16 ,-,-,Microsoft,2010 ,,N,,Y,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 
16 ,Relational,Relational DBMS,Hive,https://db-engines.com/en/system/Hive,Y,N_Facebook开源,apache/hive,74.34 ,17 ,apache,hive,Apache Software  Foundation,2012 ,2022 ,Y,Apache Version  2,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
17 ,Relational,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time  Series DBMS",Teradata,https://db-engines.com/en/system/Teradata,N,,-,65.43 ,18 ,-,-,Teradata,1984 ,2019 ,N,,N,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,1 ,0 
18 ,Document,"Document  store,Relational DBMS",Databricks,https://db-engines.com/en/system/Databricks,Y_usedbms_delta-io/delta,N,databricks/dbt-databricks,60.82 ,19 ,databricks,dbt-databricks,Databricks,2013 ,,Y,,Y,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
19 ,Graph,Graph DBMS,Neo4j,https://db-engines.com/en/system/Neo4j,Y,Y,neo4j/neo4j,55.84 ,20 ,neo4j,neo4j,"Neo4j, Inc.",2007 ,2022 ,Y,"GPL version3, commercial licenses available",N,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
20 ,Relational,Relational DBMS,Google BigQuery,https://db-engines.com/en/system/Google+BigQuery,N_api_googleapis/python-bigquery,Y,-,54.43 ,21 ,-,-,Google,2010 ,,N,,Y,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
21 ,Relational,Relational DBMS,FileMaker,https://db-engines.com/en/system/FileMaker,N,,-,53.08 ,22 ,-,-,FileMaker,1983 ,,N,,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
22 ,Relational,"Relational  DBMS,Document store,Graph DBMS,Spatial DBMS",SAP HANA,https://db-engines.com/en/system/SAP+HANA,N,,-,51.34 ,23 ,-,-,SAP,2010 ,,N,,N,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 
23 ,Search engine,"Search engine,Spatial DBMS",Solr,https://db-engines.com/en/system/Solr,Y,N,apache/solr,46.39 ,24 ,apache,solr,Apache Software Foundation,2006 ,,Y,Apache Version 2,N,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 
